! ------------ AirfoilInfo v1.01.x Input File ----------------------------------
! AeroElasticSE FAST driver
! line
! line
! ------------------------------------------------------------------------------
DEFAULT                  InterpOrd   ! Interpolation order to use for quasi-steady table lookup {1=linear; 3=cubic spline; "default"} [default=3]
1                        NonDimArea  ! The non-dimensional area of the airfoil (area/chord^2) (set to 1.0 if unsure or unneeded)
@"IEA-15-240-RWT_AF12_Coords.txt"       NumCoords   ! The number of coordinates in the airfoil shape file. Set to zero if coordinates not included.
AF12_BL.txt              BL_file     ! The file name including the boundary layer characteristics of the profile. Ignored if the aeroacoustic module is not called.
1                        NumTabs     ! Number of airfoil tables in this file.  Each table must have lines for Re and Ctrl.
! ------------------------------------------------------------------------------
! data for table 1 
! ------------------------------------------------------------------------------
3.000000                 Re          ! Reynolds number in millions
0                        Ctrl        ! Control setting (must be 0 for current AirfoilInfo)
True                     InclUAdata  ! Is unsteady aerodynamics data included in this table? If TRUE, then include 30 UA coefficients below this line
!........................................
-3.106712                alpha0      ! 0-lift angle of attack, depends on airfoil.
12.968562                alpha1      ! Angle of attack at f=0.7, (approximately the stall angle) for AOA>alpha0. (deg)
-9.912430                alpha2      ! Angle of attack at f=0.7, (approximately the stall angle) for AOA<alpha0. (deg)
1.000000                 eta_e       ! Recovery factor in the range [0.85 - 0.95] used only for UAMOD=1, it is set to 1 in the code when flookup=True. (-)
8.108139                 C_nalpha    ! Slope of the 2D normal force coefficient curve. (1/rad)
Default                  T_f0        ! Initial value of the time constant associated with Df in the expression of Df and f. [default = 3]
Default                  T_V0        ! Initial value of the time constant associated with the vortex lift decay process; it is used in the expression of Cvn. It depends on Re,M, and airfoil class. [default = 6]
Default                  T_p         ! Boundary-layer,leading edge pressure gradient time constant in the expression of Dp. It should be tuned based on airfoil experimental data. [default = 1.7]
Default                  T_VL        ! Initial value of the time constant associated with the vortex advection process; it represents the non-dimensional time in semi-chords, needed for a vortex to travel from LE to trailing edge (TE); it is used in the expression of Cvn. It depends on Re, M (weakly), and airfoil. [valid range = 6 - 13, default = 11]
Default                  b1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.14]
Default                  b2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.53]
Default                  b5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q.  [from  experimental results, defaults to 5]
Default                  A1          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.3]
Default                  A2          ! Constant in the expression of phi_alpha^c and phi_q^c.  This value is relatively insensitive for thin airfoils, but may be different for turbine airfoils. [from experimental results, defaults to 0.7]
Default                  A5          ! Constant in the expression of K'''_q,Cm_q^nc, and k_m,q. [from experimental results, defaults to 1]
0.000000                 S1          ! Constant in the f curve best-fit for alpha0<=AOA<=alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S2          ! Constant in the f curve best-fit for         AOA> alpha1; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S3          ! Constant in the f curve best-fit for alpha2<=AOA< alpha0; by definition it depends on the airfoil. [ignored if UAMod<>1]
0.000000                 S4          ! Constant in the f curve best-fit for         AOA< alpha2; by definition it depends on the airfoil. [ignored if UAMod<>1]
1.941291                 Cn1         ! Critical value of C0n at leading edge separation. It should be extracted from airfoil data at a given Mach and Reynolds number. It can be calculated from the static value of Cn at either the break in the pitching moment or the loss of chord force at the onset of stall. It is close to the condition of maximum lift of the airfoil at low Mach numbers.
-1.266353                Cn2         ! As Cn1 for negative AOAs.
Default                  St_sh       ! Strouhal's shedding frequency constant.  [default = 0.19]
0.015893                 Cd0         ! 2D drag coefficient value at 0-lift.
-0.080551                Cm0         ! 2D pitching moment coefficient about 1/4-chord location, at 0-lift, positive if nose up. [If the aerodynamics coefficients table does not include a column for Cm, this needs to be set to 0.0]
0.000000                 k0          ! Constant in the \hat(x)_cp curve best-fit; = (\hat(x)_AC-0.25).  [ignored if UAMod<>1]
0.000000                 k1          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k2          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k3          ! Constant in the \hat(x)_cp curve best-fit.  [ignored if UAMod<>1]
0.000000                 k1_hat      ! Constant in the expression of Cc due to leading edge vortex effects.  [ignored if UAMod<>1]
Default                  x_cp_bar    ! Constant in the expression of \hat(x)_cp^v. [ignored if UAMod<>1, default = 0.2]
Default                  UACutout    ! Angle of attack above which unsteady aerodynamics are disabled (deg). [Specifying the string "Default" sets UACutout to 45 degrees]
Default                  filtCutOff  ! Cut-off frequency (-3 dB corner frequency) for low-pass filtering the AoA input to UA, as well as the 1st and 2nd derivatives (Hz) [default = 20]
!........................................
! Table of aerodynamics coefficients
200                      NumAlf      ! Number of data lines in the following table
!    Alpha      Cl      Cd        Cm
!    (deg)      (-)     (-)       (-)
-2.63636363636364e+01 -1.32176424528436e+00  1.84246034011009e-01  2.41634205897897e-02
-2.57575757575758e+01 -1.32044140365408e+00  1.76587050953064e-01  2.12186759699716e-02
-2.51515151515151e+01 -1.31912250543237e+00  1.68927468434152e-01  1.82739313501536e-02
-2.45454545454545e+01 -1.31212545203784e+00  1.61267333887655e-01  1.53291867303355e-02
-2.39393939393939e+01 -1.30304192526289e+00  1.53695870777183e-01  1.24440653424850e-02
-2.33333333333333e+01 -1.29219812933441e+00  1.46926817442750e-01  1.00955533121348e-02
-2.27272727272727e+01 -1.28135765000349e+00  1.40157762629769e-01  7.74704128178463e-03
-2.21212121212121e+01 -1.27052069685639e+00  1.33388706134425e-01  5.39852925143446e-03
-2.15151515151515e+01 -1.25242470690164e+00  1.26619647723786e-01  3.04866858508000e-03
-2.09090909090909e+01 -1.23038676534524e+00  1.19850587129805e-01  6.97088325921849e-04
-2.03030303030303e+01 -1.20834882378885e+00  1.13081524041835e-01 -1.65420618578090e-03
-1.96969696969697e+01 -1.18567894387690e+00  1.07094519164191e-01 -3.52937512395963e-03
-1.90909090909091e+01 -1.16237709172327e+00  1.01889935262085e-01 -4.92053092511831e-03
-1.84848484848485e+01 -1.13907530708740e+00  9.66849250885640e-02 -6.31180730135777e-03
-1.78787878787879e+01 -1.11537565762097e+00  9.15204164774147e-02 -7.64627381672162e-03
-1.72727272727273e+01 -1.09008480372478e+00  8.65165995638757e-02 -8.75430462588779e-03
-1.66666666666667e+01 -1.06479395130611e+00  8.15127937075429e-02 -9.86218342874742e-03
-1.60606060606061e+01 -1.03950306039375e+00  7.65092096677158e-02 -1.09699020595496e-02
-1.54545454545455e+01 -1.01650113616092e+00  7.18003814187208e-02 -1.14715613496178e-02
-1.48484848484848e+01 -9.93753527270564e-01  6.71243934156425e-02 -1.19058783918414e-02
-1.42424242424242e+01 -9.71005895856449e-01  6.24485178503358e-02 -1.23399618239099e-02
-1.36363636363636e+01 -9.49410033365980e-01  5.80093309835005e-02 -1.23823568934726e-02
-1.30303030303030e+01 -9.28582028406113e-01  5.37279015719170e-02 -1.21628088988895e-02
-1.24242424242424e+01 -9.07753982480399e-01  4.94466353284088e-02 -1.19437535780941e-02
-1.18181818181818e+01 -8.87164880349705e-01  4.53583329725682e-02 -1.17034049570008e-02
-1.12121212121212e+01 -8.67124426460854e-01  4.17205617491961e-02 -1.14131927273261e-02
-1.06060606060606e+01 -8.47107146079249e-01  3.80826521743572e-02 -1.11189353338440e-02
-1.00000000000000e+01 -8.27095101416556e-01  3.44447614734121e-02 -1.08206778229050e-02
-9.39393939393939e+00 -7.73065919836394e-01  3.17365984686671e-02 -1.59337153463369e-02
-8.78787878787879e+00 -7.19017082630912e-01  2.90282822938387e-02 -2.10467607283957e-02
-8.18181818181818e+00 -6.64959997354283e-01  2.63198118061791e-02 -2.61598105441700e-02
-7.57575757575758e+00 -5.95149724254541e-01  2.43306343882601e-02 -3.26518868840674e-02
-6.96969696969697e+00 -5.18579685611426e-01  2.26497262532872e-02 -3.97349761815882e-02
-6.36363636363636e+00 -4.42007254618211e-01  2.09687728960310e-02 -4.68180666032313e-02
-5.75757575757576e+00 -3.63912438634128e-01  1.95466238046902e-02 -5.35422699734542e-02
-5.15151515151515e+00 -2.83528555609560e-01  1.85126937748291e-02 -5.97281504048137e-02
-4.54545454545454e+00 -2.03147336690540e-01  1.74787278049902e-02 -6.59140279865682e-02
-3.93939393939394e+00 -1.21931717045454e-01  1.65036833719610e-02 -7.20966782395698e-02
-3.33333333333333e+00 -3.31831725541821e-02  1.60592493111183e-02 -7.82503083269225e-02
-2.72727272727273e+00  5.55596571121007e-02  1.56148097102782e-02 -8.44027093685063e-02
-2.12121212121212e+00  1.44297486363174e-01  1.51703613286280e-02 -9.05532395923199e-02
-1.51515151515152e+00  2.34384562504332e-01  1.49360620505817e-02 -9.63451634251637e-02
-9.09090909090912e-01  3.24740374609906e-01  1.47704835679255e-02 -1.01980939039756e-01
-3.03030303030302e-01  4.14607991667878e-01  1.46965923835319e-02 -1.07249297051287e-01
 3.03030303030302e-01  5.03890185514493e-01  1.46640751524135e-02 -1.12271352520669e-01
 9.09090909090912e-01  5.92586956479866e-01  1.46729306792518e-02 -1.17047105309323e-01
 1.51515151515152e+00  6.79922426290664e-01  1.47515282533060e-02 -1.21372359115606e-01
 2.12121212121212e+00  7.66697459170248e-01  1.48556252587682e-02 -1.25521446517215e-01
 2.72727272727273e+00  8.52191676263084e-01  1.50124917425101e-02 -1.29283867061292e-01
 3.33333333333333e+00  9.36794750343432e-01  1.52060074676168e-02 -1.32812621859804e-01
 3.93939393939394e+00  1.02066870796854e+00  1.54295059818492e-02 -1.36150194736584e-01
 4.54545454545455e+00  1.10291027948083e+00  1.57175797051231e-02 -1.39110313850989e-01
 5.15151515151515e+00  1.18446359112676e+00  1.60322886255623e-02 -1.41920311418713e-01
 5.75757575757576e+00  1.26449625084851e+00  1.64053784532873e-02 -1.44405764176048e-01
 6.36363636363637e+00  1.34301839627604e+00  1.68349349427651e-02 -1.46618126127083e-01
 6.96969696969697e+00  1.42053353278094e+00  1.73021287981715e-02 -1.48648427413892e-01
 7.57575757575757e+00  1.49482687383850e+00  1.79015679133696e-02 -1.50146154194565e-01
 8.18181818181818e+00  1.56765079007369e+00  1.85667585518769e-02 -1.51437667907033e-01
 8.78787878787879e+00  1.63744172105119e+00  1.93691267332052e-02 -1.52313425086773e-01
 9.39393939393939e+00  1.70346625013891e+00  2.03874907894225e-02 -1.52810212196145e-01
 1.00000000000000e+01  1.76746270636807e+00  2.15220962738284e-02 -1.53102937305931e-01
 1.06060606060606e+01  1.82201327031432e+00  2.33181818840206e-02 -1.52764754354173e-01
 1.12121212121212e+01  1.87119145514923e+00  2.55933678281282e-02 -1.52260897803338e-01
 1.18181818181818e+01  1.91028641205185e+00  2.87579289278516e-02 -1.51449373102448e-01
 1.24242424242424e+01  1.93870209516709e+00  3.31235999443593e-02 -1.50564031898302e-01
 1.30303030303030e+01  1.96166824814630e+00  3.80782868667940e-02 -1.49569512346785e-01
 1.36363636363636e+01  1.96754254546573e+00  4.44727380178210e-02 -1.47101634351936e-01
 1.42424242424242e+01  1.97658228632705e+00  5.07645626519544e-02 -1.45125633365513e-01
 1.48484848484848e+01  1.99035313872330e+00  5.69037194391856e-02 -1.43887450184581e-01
 1.54545454545455e+01  1.99650938116987e+00  6.36867330740841e-02 -1.42382449909640e-01
 1.60606060606061e+01  1.99764470285701e+00  7.09465069226511e-02 -1.40831479690088e-01
 1.66666666666667e+01  1.97650564774566e+00  8.05624612935727e-02 -1.39667236353400e-01
 1.72727272727273e+01  1.95538629736481e+00  9.01764289596691e-02 -1.38502994341770e-01
 1.78787878787879e+01  1.93423427851967e+00  9.97914939388126e-02 -1.37338752383677e-01
 1.84848484848485e+01  1.91110066478984e+00  1.10800878342463e-01 -1.38006505826294e-01
 1.90909090909091e+01  1.88748068187047e+00  1.22157534357692e-01 -1.39132259354554e-01
 1.96969696969697e+01  1.86386069111839e+00  1.33513999578113e-01 -1.40258014170721e-01
 2.03030303030303e+01  1.83398769502624e+00  1.44557768848238e-01 -1.42041042783067e-01
 2.09090909090909e+01  1.81482253224655e+00  1.55288620806754e-01 -1.44481343057679e-01
 2.15151515151515e+01  1.79565738515086e+00  1.66018223597633e-01 -1.46921644759536e-01
 2.21212121212121e+01  1.77649226111101e+00  1.76745612015069e-01 -1.49361948087946e-01
 2.27272727272727e+01  1.75732715266769e+00  1.87476038796410e-01 -1.51802252803553e-01
 2.33333333333333e+01  1.73816204852603e+00  1.98213143519664e-01 -1.54242557998361e-01
 2.39393939393939e+01  1.71899694495849e+00  2.08950248033595e-01 -1.56682864595589e-01
 2.45454545454545e+01  1.71452494522275e+00  2.19839266864305e-01 -1.60044035489519e-01
 2.51515151515151e+01  1.70979154522354e+00  2.30745171851615e-01 -1.63507527770793e-01
 2.57575757575758e+01  1.69937631803500e+00  2.41651079370767e-01 -1.66971021156522e-01
 2.63636363636364e+01  1.68896108999381e+00  2.52556987407919e-01 -1.70434514243819e-01
 2.69696969696970e+01  1.67854586251461e+00  2.63462895096395e-01 -1.73898007028466e-01
 2.75757575757576e+01  1.66813063540091e+00  2.74368802645060e-01 -1.77361499401031e-01
 2.81818181818182e+01  1.65796073506321e+00  2.85286528370389e-01 -1.80771673382029e-01
 2.87878787878788e+01  1.64845051301321e+00  2.96231829838681e-01 -1.84057438458469e-01
 2.93939393939394e+01  1.63898641436497e+00  3.07177131825419e-01 -1.87343203387223e-01
 3.00000000000000e+01  1.62948486661177e+00  3.18122437554767e-01 -1.90628962413533e-01
 3.30000000000000e+01  1.55598916671587e+00  3.75406558653026e-01 -2.06930658179051e-01
 3.60000000000000e+01  1.42956737144382e+00  4.38900372688080e-01 -2.23306751757485e-01
 3.90000000000000e+01  1.31401943437667e+00  5.05278789516681e-01 -2.39327569355859e-01
 4.20000000000000e+01  1.20237867356750e+00  5.72742330194448e-01 -2.52452880563439e-01
 4.50000000000000e+01  1.09371426250065e+00  6.40955433906790e-01 -2.63419888521790e-01
 4.80000000000000e+01  1.02447827691206e+00  7.09355098299082e-01 -2.74386896190996e-01
 5.10000000000000e+01  9.55395606992867e-01  7.76791505776259e-01 -2.84767585553772e-01
 5.40000000000000e+01  8.85878214562883e-01  8.42893437507159e-01 -2.94846946654179e-01
 5.70000000000000e+01  8.15650861101859e-01  9.07331339830046e-01 -3.04708934088858e-01
 6.00000000000000e+01  7.43778823420896e-01  9.68030646045832e-01 -3.14579992615303e-01
 6.30000000000000e+01  6.70671078251131e-01  1.02527408889235e+00 -3.24470703285087e-01
 6.60000000000000e+01  5.96492174740629e-01  1.07898006561435e+00 -3.34367613114791e-01
 6.90000000000000e+01  5.21179998763148e-01  1.12816217663452e+00 -3.44264874586208e-01
 7.20000000000000e+01  4.44958259719047e-01  1.17069378951834e+00 -3.53880164476343e-01
 7.50000000000000e+01  3.68550854753817e-01  1.20822281180517e+00 -3.63431899394982e-01
 7.80000000000000e+01  2.92184997204604e-01  1.24056821301301e+00 -3.72879073089261e-01
 8.10000000000000e+01  2.16558907168969e-01  1.26528021257558e+00 -3.81883659907926e-01
 8.40000000000000e+01  1.42498211064748e-01  1.28282171750885e+00 -3.90330809624535e-01
 8.70000000000000e+01  7.02080266984000e-02  1.29441948951163e+00 -3.98603865275381e-01
 9.00000000000000e+01  2.83684971530144e-10  1.29999994774573e+00 -4.06877035329063e-01
 9.30000000000000e+01 -4.91456189584431e-02  1.29441948948082e+00 -4.11127899832210e-01
 9.60000000000000e+01 -9.97487478450612e-02  1.28282171746833e+00 -4.15378769219076e-01
 9.90000000000000e+01 -1.51591234548818e-01  1.26528021276816e+00 -4.19132397522905e-01
 1.02000000000000e+02 -2.04529497573553e-01  1.24056821320277e+00 -4.21294286848455e-01
 1.05000000000000e+02 -2.57985598494952e-01  1.20822281166610e+00 -4.22192308964419e-01
 1.08000000000000e+02 -3.11470782012298e-01  1.17069378931869e+00 -4.22737650379564e-01
 1.11000000000000e+02 -3.64825998728601e-01  1.12816217695146e+00 -4.22990186546995e-01
 1.14000000000000e+02 -4.17544522564847e-01  1.07898006525770e+00 -4.21946700242729e-01
 1.17000000000000e+02 -4.69469754631566e-01  1.02527408882523e+00 -4.20903218833329e-01
 1.20000000000000e+02 -5.20645175941607e-01  9.68030646259131e-01 -4.20291291179462e-01
 1.23000000000000e+02 -5.70955603103753e-01  9.07331339198415e-01 -4.20542856586506e-01
 1.26000000000000e+02 -6.20114749989843e-01  8.42893437634247e-01 -4.21186802756651e-01
 1.29000000000000e+02 -6.68776924496259e-01  7.76791506298021e-01 -4.23298186027395e-01
 1.32000000000000e+02 -7.17134795002763e-01  7.09355096249268e-01 -4.27413137447514e-01
 1.35000000000000e+02 -7.65599987908232e-01  6.40955427212404e-01 -4.35425672158307e-01
 1.38000000000000e+02 -8.15415077643639e-01  5.72742319930925e-01 -4.43438597102601e-01
 1.41000000000000e+02 -8.67313614226437e-01  5.05278775734147e-01 -4.54168826251280e-01
 1.44000000000000e+02 -9.21947173449231e-01  4.38900352722281e-01 -4.68544534334753e-01
 1.47000000000000e+02 -9.84192432199085e-01  3.75406527145853e-01 -4.83363791215884e-01
 1.50000000000000e+02 -9.42187646547978e-01  3.14064018560735e-01 -4.95037768219011e-01
 1.53000000000000e+02 -8.48039942046296e-01  2.56765679347464e-01 -4.75308255313391e-01
 1.56000000000000e+02 -7.53843746165311e-01  2.03761265620115e-01 -4.52426568898058e-01
